FID,Geocodigo,Nome,MoradDPPOCanalizCasaTot,MoradDPPOCanalizTerrTot,MoradDPPOSemCanalizTot,MoradDPPOTotTot,PercMoradDPPOCanalizCasaTot,PercMoradDPPOCanalizTerrTot,PercMoradDPPOSemCanalizTot
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5da2,4123402,Santa Fé - PR,11301,44,2,11347,99.59,0.39,0.02
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5da1,4123501,Santa Helena - PR,25227,243,2,25472,99.04,0.95,0.01
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5da0,4123600,Santa Inês - PR,1745,3,,1748,99.83,0.17,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d9f,4123709,Santa Isabel do Ivaí - PR,8905,1,,8906,99.99,0.01,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d9e,4123808,Santa Izabel do Oeste - PR,14035,12,1,14048,99.91,0.09,0.01
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d9d,4123824,Santa Lúcia - PR,3643,1,,3644,99.97,0.03,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d9c,4123857,Santa Maria do Oeste - PR,9869,26,28,9923,99.46,0.26,0.28
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d9b,4123907,Santa Mariana - PR,11029,9,13,11051,99.8,0.08,0.12
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d9a,4123956,Santa Mônica - PR,3354,2,,3356,99.94,0.06,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d99,4124004,Santana do Itararé - PR,5480,2,,5482,99.96,0.04,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d98,4124020,Santa Tereza do Oeste - PR,13167,6,,13173,99.95,0.05,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d97,4124053,Santa Terezinha de Itaipu - PR,24211,40,7,24258,99.81,0.16,0.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d96,4124103,Santo Antônio da Platina - PR,44090,80,23,44193,99.77,0.18,0.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d95,4124202,Santo Antônio do Caiuá - PR,2486,4,3,2493,99.72,0.16,0.12
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d94,4124301,Santo Antônio do Paraíso - PR,2125,,,2125,100,,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d93,4124400,Santo Antônio do Sudoeste - PR,23450,53,8,23511,99.74,0.23,0.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d92,4124509,Santo Inácio - PR,6171,,,6171,100,,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d91,4124608,São Carlos do Ivaí - PR,6527,20,,6547,99.69,0.31,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d90,4124707,São Jerônimo da Serra - PR,10730,64,3,10797,99.38,0.59,0.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d8f,4124806,São João - PR,11875,,4,11879,99.97,,0.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d8e,4124905,São João do Caiuá - PR,5563,8,,5571,99.86,0.14,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d8d,4125001,São João do Ivaí - PR,10594,2,,10596,99.98,0.02,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d8c,4125100,São João do Triunfo - PR,13607,55,45,13707,99.27,0.4,0.33
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d8b,4125209,São Jorge d'Oeste - PR,9357,9,5,9371,99.85,0.1,0.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d8a,4125308,São Jorge do Ivaí - PR,5163,,,5163,100,,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d89,4125357,São Jorge do Patrocínio - PR,6493,,,6493,100,,
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d88,4125407,São José da Boa Vista - PR,5995,15,8,6018,99.62,0.25,0.13
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d87,4125456,São José das Palmeiras - PR,3950,4,2,3956,99.85,0.1,0.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d86,4125506,São José dos Pinhais - PR,326637,845,239,327721,99.67,0.26,0.07
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-5d85,4125555,São Manoel do Paraná - PR,2127,11,,2138,99.49,0.51,
