FID,Geocodigo,Nome,MoradDPPOCanalizCasaTot,MoradDPPOCanalizTerrTot,MoradDPPOSemCanalizTot,MoradDPPOTotTot,PercMoradDPPOCanalizCasaTot,PercMoradDPPOCanalizTerrTot,PercMoradDPPOSemCanalizTot
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e2c,1100015,Alta Floresta D'Oeste - RO,20827,555,58,21440,97.14,2.59,0.27
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e2b,1100023,Ariquemes - RO,93419,1833,900,96152,97.16,1.91,0.94
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e2a,1100031,Cabixi - RO,4755,591,5,5351,88.86,11.04,0.09
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e29,1100049,Cacoal - RO,85389,971,134,86494,98.72,1.12,0.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e28,1100056,Cerejeiras - RO,15187,502,109,15798,96.13,3.18,0.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e27,1100064,Colorado do Oeste - RO,15548,106,9,15663,99.27,0.68,0.06
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e26,1100072,Corumbiara - RO,7410,69,24,7503,98.76,0.92,0.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e25,1100080,Costa Marques - RO,11158,1078,290,12526,89.08,8.61,2.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e24,1100098,Espigão D'Oeste - RO,28845,293,191,29329,98.35,1,0.65
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e23,1100106,Guajará-Mirim - RO,30155,5263,3545,38963,77.39,13.51,9.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e22,1100114,Jaru - RO,48138,2164,52,50354,95.6,4.3,0.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e21,1100122,Ji-Paraná - RO,120960,1292,1500,123752,97.74,1.04,1.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e20,1100130,Machadinho D'Oeste - RO,29607,503,318,30428,97.3,1.65,1.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e1f,1100148,Nova Brasilândia D'Oeste - RO,15445,214,15,15674,98.54,1.37,0.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e1e,1100155,Ouro Preto do Oeste - RO,34476,322,35,34833,98.98,0.92,0.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e1d,1100189,Pimenta Bueno - RO,34420,244,104,34768,99,0.7,0.3
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e1c,1100205,Porto Velho - RO,425195,17966,13932,457093,93.02,3.93,3.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e1b,1100254,Presidente Médici - RO,19147,106,21,19274,99.34,0.55,0.11
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e1a,1100262,Rio Crespo - RO,3386,34,36,3456,97.97,0.98,1.04
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e19,1100288,Rolim de Moura - RO,56025,86,26,56137,99.8,0.15,0.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e18,1100296,Santa Luzia D'Oeste - RO,7316,71,4,7391,98.99,0.96,0.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e17,1100304,Vilhena - RO,94681,504,144,95329,99.32,0.53,0.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e16,1100320,São Miguel do Guaporé - RO,21384,111,53,21548,99.24,0.52,0.25
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e15,1100338,Nova Mamoré - RO,23626,1418,319,25363,93.15,5.59,1.26
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e14,1100346,Alvorada D'Oeste - RO,12294,732,78,13104,93.82,5.59,0.6
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e13,1100379,Alto Alegre dos Parecis - RO,11384,53,23,11460,99.34,0.46,0.2
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e12,1100403,Alto Paraíso - RO,16155,83,51,16289,99.18,0.51,0.31
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e11,1100452,Buritis - RO,27447,333,47,27827,98.63,1.2,0.17
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e10,1100502,Novo Horizonte do Oeste - RO,7601,56,6,7663,99.19,0.73,0.08
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e0f,1100601,Cacaulândia - RO,4114,19,12,4145,99.25,0.46,0.29
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e0e,1100700,Campo Novo de Rondônia - RO,8639,144,35,8818,97.97,1.63,0.4
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e0d,1100809,Candeias do Jamari - RO,21199,766,317,22282,95.14,3.44,1.42
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e0c,1100908,Castanheiras - RO,3206,7,16,3229,99.29,0.22,0.5
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e0b,1100924,Chupinguaia - RO,9155,88,42,9285,98.6,0.95,0.45
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e0a,1100940,Cujubim - RO,13526,894,405,14825,91.24,6.03,2.73
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e09,1101005,Governador Jorge Teixeira - RO,6142,1820,22,7984,76.93,22.8,0.28
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e08,1101104,Itapuã do Oeste - RO,6918,1523,102,8543,80.98,17.83,1.19
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e07,1101203,Ministro Andreazza - RO,6439,26,1,6466,99.58,0.4,0.02
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e06,1101302,Mirante da Serra - RO,8874,315,46,9235,96.09,3.41,0.5
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e05,1101401,Monte Negro - RO,11234,229,53,11516,97.55,1.99,0.46
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e04,1101435,Nova União - RO,6053,65,62,6180,97.94,1.05,1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e03,1101450,Parecis - RO,3882,91,105,4078,95.19,2.23,2.57
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e02,1101468,Pimenteiras do Oeste - RO,2078,23,7,2108,98.58,1.09,0.33
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e01,1101476,Primavera de Rondônia - RO,3047,27,2,3076,99.06,0.88,0.07
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6e00,1101484,São Felipe D'Oeste - RO,5229,24,3,5256,99.49,0.46,0.06
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dff,1101492,São Francisco do Guaporé - RO,16031,139,80,16250,98.65,0.86,0.49
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dfe,1101500,Seringueiras - RO,10759,380,19,11158,96.42,3.41,0.17
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dfd,1101559,Teixeirópolis - RO,4214,36,6,4256,99.01,0.85,0.14
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dfc,1101609,Theobroma - RO,8038,66,8,8112,99.09,0.81,0.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dfb,1101708,Urupá - RO,10183,475,64,10722,94.97,4.43,0.6
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dfa,1101757,Vale do Anari - RO,7618,74,25,7717,98.72,0.96,0.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df9,1101807,Vale do Paraíso - RO,6395,71,7,6473,98.79,1.1,0.11
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df8,1200013,Acrelândia - AC,12872,766,340,13978,92.09,5.48,2.43
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df7,1200054,Assis Brasil - AC,6199,477,1414,8090,76.63,5.9,17.48
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df6,1200104,Brasiléia - AC,21853,3124,954,25931,84.27,12.05,3.68
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df5,1200138,Bujari - AC,9855,1721,1341,12917,76.29,13.32,10.38
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df4,1200179,Capixaba - AC,8762,1122,486,10370,84.49,10.82,4.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df3,1200203,Cruzeiro do Sul - AC,75761,7907,7479,91147,83.12,8.68,8.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df2,1200252,Epitaciolândia - AC,16373,1941,425,18739,87.37,10.36,2.27
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df1,1200302,Feijó - AC,21379,4153,9813,35345,60.49,11.75,27.76
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6df0,1200328,Jordão - AC,4026,789,4386,9201,43.76,8.58,47.67
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6def,1200336,Mâncio Lima - AC,12786,3841,2597,19224,66.51,19.98,13.51
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dee,1200344,Manoel Urbano - AC,7461,2797,1731,11989,62.23,23.33,14.44
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6ded,1200351,Marechal Thaumaturgo - AC,7211,2218,7664,17093,42.19,12.98,44.84
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dec,1200385,Plácido de Castro - AC,13957,2137,446,16540,84.38,12.92,2.7
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6deb,1200393,Porto Walter - AC,5758,1134,3843,10735,53.64,10.56,35.8
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dea,1200401,Rio Branco - AC,319898,29258,12713,361869,88.4,8.09,3.51
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de9,1200427,Rodrigues Alves - AC,10721,2432,1766,14919,71.86,16.3,11.84
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de8,1200435,Santa Rosa do Purus - AC,2118,1174,3425,6717,31.53,17.48,50.99
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de7,1200450,Senador Guiomard - AC,18628,2081,284,20993,88.73,9.91,1.35
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de6,1200500,Sena Madureira - AC,31997,3812,5065,40874,78.28,9.33,12.39
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de5,1200609,Tarauacá - AC,26729,5131,11011,42871,62.35,11.97,25.68
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de4,1200708,Xapuri - AC,15876,666,1688,18230,87.09,3.65,9.26
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de3,1200807,Porto Acre - AC,13333,2953,390,16676,79.95,17.71,2.34
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de2,1300029,Alvarães - AM,11107,3196,1525,15828,70.17,20.19,9.63
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de1,1300060,Amaturá - AM,7219,484,3109,10812,66.77,4.48,28.76
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6de0,1300086,Anamã - AM,6865,975,2104,9944,69.04,9.8,21.16
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6ddf,1300102,Anori - AM,11204,211,5708,17123,65.43,1.23,33.34
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dde,1300144,Apuí - AM,18020,1135,1373,20528,87.78,5.53,6.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6ddd,1300201,Atalaia do Norte - AM,6338,738,8119,15195,41.71,4.86,53.43
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6ddc,1300300,Autazes - AM,26290,7147,8111,41548,63.28,17.2,19.52
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6ddb,1300409,Barcelos - AM,11364,1383,5950,18697,60.78,7.4,31.82
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dda,1300508,Barreirinha - AM,20750,3990,6132,30872,67.21,12.92,19.86
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd9,1300607,Benjamin Constant - AM,19041,4996,13501,37538,50.72,13.31,35.97
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd8,1300631,Beruri - AM,12865,1406,6400,20671,62.24,6.8,30.96
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd7,1300680,Boa Vista do Ramos - AM,15939,2338,5491,23768,67.06,9.84,23.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd6,1300706,Boca do Acre - AM,23228,7737,4392,35357,65.7,21.88,12.42
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd5,1300805,Borba - AM,24470,2126,6425,33021,74.1,6.44,19.46
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd4,1300839,Caapiranga - AM,10744,1751,883,13378,80.31,13.09,6.6
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd3,1300904,Canutama - AM,13321,960,2581,16862,79,5.69,15.31
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd2,1301001,Carauari - AM,24890,1541,2237,28668,86.82,5.38,7.8
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd1,1301100,Careiro - AM,23173,1976,5591,30740,75.38,6.43,18.19
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dd0,1301159,Careiro da Várzea - AM,12902,3308,3392,19602,65.82,16.88,17.3
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dcf,1301209,Coari - AM,54501,2947,13058,70506,77.3,4.18,18.52
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dce,1301308,Codajás - AM,13887,4444,5142,23473,59.16,18.93,21.91
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dcd,1301407,Eirunepé - AM,24380,2013,6668,33061,73.74,6.09,20.17
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dcc,1301506,Envira - AM,12319,919,3905,17143,71.86,5.36,22.78
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dcb,1301605,Fonte Boa - AM,16852,2753,6127,25732,65.49,10.7,23.81
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dca,1301654,Guajará - AM,8862,1886,3042,13790,64.26,13.68,22.06
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc9,1301704,Humaitá - AM,47771,3960,5628,57359,83.28,6.9,9.81
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc8,1301803,Ipixuna - AM,16912,952,6174,24038,70.36,3.96,25.68
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc7,1301852,Iranduba - AM,43793,14073,3038,60904,71.9,23.11,4.99
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc6,1301902,Itacoatiara - AM,86782,5691,10736,103209,84.08,5.51,10.4
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc5,1301951,Itamarati - AM,7324,999,2587,10910,67.13,9.16,23.71
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc4,1302009,Itapiranga - AM,8626,805,676,10107,85.35,7.96,6.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc3,1302108,Japurá - AM,5206,1502,2059,8767,59.38,17.13,23.49
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc2,1302207,Juruá - AM,8146,604,1979,10729,75.93,5.63,18.45
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc1,1302306,Jutaí - AM,18831,1616,4534,24981,75.38,6.47,18.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dc0,1302405,Lábrea - AM,35216,3112,7011,45339,77.67,6.86,15.46
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dbf,1302504,Manacapuru - AM,78919,11905,10813,101637,77.65,11.71,10.64
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dbe,1302553,Manaquiri - AM,9665,2402,5022,17089,56.56,14.06,29.39
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dbd,1302603,Manaus - AM,1996354,37805,24345,2058504,96.98,1.84,1.18
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dbc,1302702,Manicoré - AM,37276,5647,10843,53766,69.33,10.5,20.17
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dbb,1302801,Maraã - AM,7344,2181,5863,15388,47.73,14.17,38.1
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dba,1302900,Maués - AM,38816,6244,15906,60966,63.67,10.24,26.09
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db9,1303007,Nhamundá - AM,14858,1861,3317,20036,74.16,9.29,16.56
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db8,1303106,Nova Olinda do Norte - AM,18130,3291,5504,26925,67.34,12.22,20.44
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db7,1303205,Novo Airão - AM,10834,2518,2355,15707,68.98,16.03,14.99
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db6,1303304,Novo Aripuanã - AM,16608,3153,3934,23695,70.09,13.31,16.6
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db5,1303403,Parintins - AM,82499,6812,6752,96063,85.88,7.09,7.03
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db4,1303502,Pauini - AM,10562,2829,5913,19304,54.71,14.65,30.63
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db3,1303536,Presidente Figueiredo - AM,26141,1892,2602,30635,85.33,6.18,8.49
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db2,1303569,Rio Preto da Eva - AM,21676,1726,1478,24880,87.12,6.94,5.94
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db1,1303601,Santa Isabel do Rio Negro - AM,6177,724,7198,14099,43.81,5.14,51.05
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6db0,1303700,Santo Antônio do Içá - AM,14665,5131,8346,28142,52.11,18.23,29.66
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6daf,1303809,São Gabriel da Cachoeira - AM,16008,8661,26589,51258,31.23,16.9,51.87
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dae,1303908,São Paulo de Olivença - AM,11198,3551,18182,32931,34,10.78,55.21
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dad,1303957,São Sebastião do Uatumã - AM,9955,656,931,11542,86.25,5.68,8.07
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dac,1304005,Silves - AM,8642,1188,1704,11534,74.93,10.3,14.77
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6dab,1304062,Tabatinga - AM,38750,17396,10292,66438,58.33,26.18,15.49
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6daa,1304104,Tapauá - AM,12591,1065,5833,19489,64.61,5.46,29.93
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da9,1304203,Tefé - AM,61813,7208,4525,73546,84.05,9.8,6.15
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da8,1304237,Tonantins - AM,7165,5028,7039,19232,37.26,26.14,36.6
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da7,1304260,Uarini - AM,8888,2604,2769,14261,62.32,18.26,19.42
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da6,1304302,Urucará - AM,16389,1047,1127,18563,88.29,5.64,6.07
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da5,1304401,Urucurituba - AM,17429,951,5159,23539,74.04,4.04,21.92
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da4,1400027,Amajari - RR,6348,1802,5565,13715,46.29,13.14,40.58
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da3,1400050,Alto Alegre - RR,9696,2127,9205,21028,46.11,10.12,43.77
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da2,1400100,Boa Vista - RR,394761,5939,2325,403025,97.95,1.47,0.58
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da1,1400159,Bonfim - RR,8518,2824,2513,13855,61.48,20.38,18.14
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6da0,1400175,Cantá - RR,13723,1940,2894,18557,73.95,10.45,15.6
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6d9f,1400209,Caracaraí - RR,17973,1380,1529,20882,86.07,6.61,7.32
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6d9e,1400233,Caroebe - RR,9496,601,415,10512,90.33,5.72,3.95
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6d9d,1400282,Iracema - RR,7665,581,1772,10018,76.51,5.8,17.69
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6d9c,1400308,Mucajaí - RR,16195,793,949,17937,90.29,4.42,5.29
sidra_6909_PercMoradDPPOSemCanalizTot_munic_22_pol.fid-703dc0a5_1918b5ed854_-6d9b,1400407,Normandia - RR,4514,6009,3370,13893,32.49,43.25,24.26
